Samples.ID,Sample.Type,Bed.number,Hand.msd,Wet.dry,Top.bottom,Date.collected,Date.processed,Weight.g.,PBS.added.ml.,Log.APC.,Log.Coli.,Log.E.coli.,Opportunity,Zone
Tis8,Produce Sample,Edge Creek,NA,NA,Top,6/27/2022,6/29/2022,214.44,194.44,7.42,7.389822118,4.505149978,Repeat,Edge Creek
Tis59,Produce Sample,4,NA,NA,Top,6/27/2022,6/29/2022,439.15,419.15,7.28,7.231394068,NA,Repeat,Center
Tis4,Produce Sample,Edge Creek,NA,NA,Bottom,6/27/2022,6/29/2022,811.18,791.18,5.30,4.255272505,NA,Original,Edge Creek
Tis22,Produce Sample,1,NA,NA,Top,6/27/2022,6/29/2022,399.95,379.95,5.15,4.62324929,3.146128036,Original,Center
Tis25,Produce Sample,1,NA,NA,Top,6/27/2022,6/29/2022,417.01,397.01,4.95,4.079181246,2.301029996,Original,Center
Tis60,Produce Sample,4,NA,NA,Top,6/27/2022,6/29/2022,316.02,296.02,7.59,7.100599181,NA,Repeat,Center
Tis3,Produce Sample,Edge Creek,NA,NA,Bottom,6/27/2022,6/29/2022,480.96,460.96,7.29,6.947559151,NA,Repeat,Edge Creek
Tis10,Produce Sample,Edge Creek,NA,NA,Top,6/27/2022,6/29/2022,495.22,475.22,7.30,6.456366033,2.903089987,Repeat,Edge Creek
Tis7,Produce Sample,Edge Creek,NA,NA,Top,6/27/2022,6/29/2022,412.84,392.84,4.70,4.307496038,NA,Original,Edge Creek
Tis32,Produce Sample,6,NA,NA,Bottom,6/27/2022,6/29/2022,503.01,483.01,7.66,7.510644289,5.597695186,Repeat,Center
Tis31,Produce Sample,6,NA,NA,Top,6/27/2022,6/29/2022,492.49,472.49,5.34,4.792391689,NA,Original,Center
Tis27,Produce Sample,4,NA,NA,Top,6/27/2022,6/29/2022,197.3,177.3,7.50,7.386531993,NA,Repeat,Center
Tis11,Produce Sample,Edge Creek,NA,NA,Top,6/27/2022,6/29/2022,260.43,240.43,7.45,7.04120553,NA,Repeat,Edge Creek
Tis2,Produce Sample,Edge Creek,NA,NA,Bottom,6/27/2022,6/29/2022,199.15,179.15,4.71,4.071882007,1.342422681,Original,Edge Creek
Tis28,Produce Sample,4,NA,NA,Bottom,6/27/2022,6/29/2022,467.78,447.78,7.44,4.653212514,NA,Repeat,Center
Tis24,Produce Sample,1,NA,NA,Top,6/27/2022,6/29/2022,357.85,337.85,7.71,7.822890465,NA,Repeat,Center
Tis26,Produce Sample,1,NA,NA,Bottom,6/27/2022,6/29/2022,334.74,314.74,7.42,TNTC,5.334453751,Repeat,Center
Tis9,Produce Sample,Edge Creek,NA,NA,Top,6/27/2022,6/29/2022,367.51,347.51,7.65,7.460730839,NA,Repeat,Edge Creek
Tis6,Produce Sample,Edge Creek,NA,NA,Bottom,6/27/2022,6/29/2022,292.38,272.38,5.08,4.173186268,2.698970004,Original,Edge Creek
Tis30,Produce Sample,5,NA,NA,Bottom,6/27/2022,6/29/2022,236.2,216.2,5.08,3.716003344,NA,Original,Center
Tis29,Produce Sample,5,NA,NA,Top,6/27/2022,6/29/2022,326.5,306.5,5.48,4.77815125,1.505149978,Original,Center
Tis5,Produce Sample,Edge Creek,NA,NA,Bottom,6/27/2022,6/29/2022,380.6,360.6,7.74,7.68763546,NA,Repeat,Edge Creek
MT19,Aggregative Swab,Edge Creek,MSD,WET,Bottom,6/27/2022,6/29/2022,33.58,30.12,8.43,7.622425156,1.977723605,Repeat,Edge Creek
MT23,Aggregative Swab,Edge Creek,MSD,WET,Top,6/27/2022,6/29/2022,31.11,32.59,8.18,8.138115543,NA,Repeat,Edge Creek
MT16,Aggregative Swab,Edge Creek,MSD,DRY,Top,6/27/2022,6/29/2022,16.9,46.8,5.01,1,NA,Original,Edge Creek
MT10,Aggregative Swab,4,MSD,WET,Bottom,6/27/2022,6/29/2022,31.64,32.06,8.25,7.970545021,NA,Repeat,Center
MT7,Aggregative Swab,6,MSD,WET,Top,6/27/2022,6/29/2022,30.84,32.86,8.47,6.666785321,NA,Repeat,Center
MT121,Aggregative Swab,4,MSD,WET,Bottom,6/27/2022,6/29/2022,38.95,33.55,6.05,6.078838066,3.806179974,Original,Center
MT14,Aggregative Swab,Edge Creek,MSD,WET,Top,6/27/2022,6/29/2022,31.83,31.87,5.04,4.374458913,NA,Original,Edge Creek
MT1,Aggregative Swab,4,MSD,DRY,Top,6/27/2022,6/29/2022,20.4,43.3,4.93,1,NA,Original,Center
MT13,Aggregative Swab,6,MSD,WET,Bottom,6/27/2022,6/29/2022,31.39,32.31,8.46,7.723680564,NA,Repeat,Center
MT12,Aggregative Swab,6,MSD,WET,Top,6/27/2022,6/29/2022,28.73,34.97,5.75,5.51435095,NA,Original,Center
MT24,Aggregative Swab,1,MSD,WET,Top,6/27/2022,6/29/2022,24.2,39.5,7.88,7.62484463,NA,Repeat,Center
MT27,Aggregative Swab,1,HAND,WET,Top,6/27/2022,6/29/2022,32.62,31.08,6.48,6.362775592,3.230448921,Repeat,Center
MT28,Aggregative Swab,2,HAND,WET,Top,6/27/2022,6/29/2022,34.45,29.25,7.40,TNTC,NA,Repeat,Center
MT30,Aggregative Swab,Edge Creek,HAND,WET,Top,6/27/2022,6/29/2022,32.57,31.13,6.30,6.204622348,NA,Original,Edge Creek
MT6,Aggregative Swab,Edge Creek,MSD,WET,Bottom,6/27/2022,6/29/2022,31.5,32.2,,6.836589773,NA,Original,Edge Creek
MT29,Aggregative Swab,2,HAND,WET,Top,6/27/2022,6/29/2022,30.22,33.48,8.77,8.733184105,NA,Repeat,Center
MT25,Aggregative Swab,Edge Creek,MSD,WET,Top,6/27/2022,6/29/2022,31.91,31.79,8.30,8.243038049,NA,Repeat,Edge Creek
MT9,Aggregative Swab,5,MSD,WET,Top,6/27/2022,6/29/2022,31.46,32.24,8.22,TNTC,4.26760624,Repeat,Center
MT18,Aggregative Swab,Edge Creek,MSD,WET,Bottom,6/27/2022,6/29/2022,33.84,29.86,7.82,7.01616166,NA,Repeat,Edge Creek
MT36,Aggregative Swab,Edge Creek,HAND,WET,Top,6/27/2022,6/29/2022,32.88,30.82,8.47,TNTC,NA,Repeat,Edge Creek
MT8,Aggregative Swab,5,MSD,WET,Top,6/27/2022,6/29/2022,29.29,34.41,6.95,6.253884982,3.633468456,Original,Center
MT3,Aggregative Swab,5,MSD,DRY,Bottom,6/27/2022,6/29/2022,22.26,41.44,5.36,1.176091259,NA,Repeat,Center
MT4,Aggregative Swab,5,MSD,DRY,Bottom,6/27/2022,6/29/2022,22.74,40.96,5.25,1,NA,Original,Center
MT5,Aggregative Swab,6,MSD,DRY,Bottom,6/27/2022,6/29/2022,21.8,41.9,5.56,0.698970004,NA,Repeat,Center
MT26,Aggregative Swab,1,MSD,WET,Bottom,6/27/2022,6/29/2022,31.62,32.08,8.64,8.490322711,NA,Repeat,Center
MT2,Aggregative Swab,4,MSD,DRY,Top,6/27/2022,6/29/2022,22.2,41.5,5.27,2.301029996,NA,Original,Center
MT15,Aggregative Swab,Edge Creek,MSD,DRY,Top,6/27/2022,6/29/2022,22.97,40.73,5.91,5.544068044,NA,Repeat,Edge Creek
MT35,Aggregative Swab,Edge Creek,HAND,WET,Top,6/27/2022,6/29/2022,34.06,29.64,6.54,6.519140176,2.462397998,Original,Edge Creek
MT22,Aggregative Swab,Edge Creek,MSD,DRY,Bottom,6/27/2022,6/29/2022,23.78,39.92,5.40,3.838849091,NA,Original,Edge Creek
MT20,Aggregative Swab,Edge Creek,MSD,DRY,Bottom,6/27/2022,6/29/2022,22.78,40.92,5.18,4.727128581,NA,Original,Edge Creek
MT17,Aggregative Swab,Edge Creek,MSD,DRY,Top,6/27/2022,6/29/2022,22.27,41.43,5.01,2.397940009,NA,Original,Edge Creek
MT21,Aggregative Swab,Edge Creek,MSD,DRY,Bottom,6/27/2022,6/29/2022,21.83,41.87,5.46,1.875061263,NA,Original,Edge Creek
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
