Samples.ID,Sample.Type,Bed.number,Hand.msd,Wet.dry,Top.bottom,Date.collected,Date.processed,Weight.g.,PBS.added.ml.,Log.APC.,Log.Coli.,Log.E.coli.,Opportunity,Zone
Tis8,Produce Sample,Edge Creek,NA,NA,Top,6/27/2022,6/29/2022,214.44,194.44,5.672097858,6.122875576,2.531478917,Original,Edge Creek
Tis59,Produce Sample,4,NA,NA,Top,6/27/2022,6/29/2022,439.15,419.15,5.755874856,5.826288443,NA,Original,Center
Tis4,Produce Sample,Edge Creek,NA,NA,Bottom,6/27/2022,6/29/2022,811.18,791.18,5.301029996,4.255272505,NA,Original,Edge Creek
Tis22,Produce Sample,1,NA,NA,Top,6/27/2022,6/29/2022,399.95,379.95,5.146128036,4.62324929,3.146128036,Original,Center
Tis25,Produce Sample,1,NA,NA,Top,6/27/2022,6/29/2022,417.01,397.01,4.954242509,4.079181246,2.301029996,Original,Center
Tis60,Produce Sample,4,NA,NA,Top,6/27/2022,6/29/2022,316.02,296.02,NA,4.079181246,NA,Original,Center
Tis3,Produce Sample,Edge Creek,NA,NA,Bottom,6/27/2022,6/29/2022,480.96,460.96,5,5.068185862,NA,Original,Edge Creek
Tis10,Produce Sample,Edge Creek,NA,NA,Top,6/27/2022,6/29/2022,495.22,475.22,5.07,4.556302501,2.903089987,Original,Edge Creek
Tis7,Produce Sample,Edge Creek,NA,NA,Top,6/27/2022,6/29/2022,412.84,392.84,4.698970004,4.307496038,NA,Original,Edge Creek
Tis32,Produce Sample,6,NA,NA,Bottom,6/27/2022,6/29/2022,503.01,483.01,5.51851394,5.56,NA,Original,Center
Tis31,Produce Sample,6,NA,NA,Top,6/27/2022,6/29/2022,492.49,472.49,5.342422681,4.792391689,NA,Original,Center
Tis27,Produce Sample,4,NA,NA,Top,6/27/2022,6/29/2022,197.3,177.3,5.929418926,6.130562405,NA,Original,Center
Tis11,Produce Sample,Edge Creek,NA,NA,Top,6/27/2022,6/29/2022,260.43,240.43,5.591064607,6.17,3.3,Original,Edge Creek
Tis2,Produce Sample,Edge Creek,NA,NA,Bottom,6/27/2022,6/29/2022,199.15,179.15,4.708411561,4.071882007,1.342422681,Original,Edge Creek
Tis28,Produce Sample,4,NA,NA,Bottom,6/27/2022,6/29/2022,467.78,447.78,5.61,4.653212514,NA,Original,Center
Tis24,Produce Sample,1,NA,NA,Top,6/27/2022,6/29/2022,357.85,337.85,5.041392685,5.123851641,NA,Original,Center
Tis26,Produce Sample,1,NA,NA,Bottom,6/27/2022,6/29/2022,334.74,314.74,4.79,4.173186268,2.602059991,Original,Center
Tis9,Produce Sample,Edge Creek,NA,NA,Top,6/27/2022,6/29/2022,367.51,347.51,5.602059991,5.893201489,NA,Original,Edge Creek
Tis6,Produce Sample,Edge Creek,NA,NA,Bottom,6/27/2022,6/29/2022,292.38,272.38,5.079181246,4.173186268,2.698970004,Original,Edge Creek
Tis30,Produce Sample,5,NA,NA,Bottom,6/27/2022,6/29/2022,236.2,216.2,5.079181246,3.716003344,NA,Original,Center
Tis29,Produce Sample,5,NA,NA,Top,6/27/2022,6/29/2022,326.5,306.5,5.477121255,4.77815125,1.505149978,Original,Center
Tis5,Produce Sample,Edge Creek,NA,NA,Bottom,6/27/2022,6/29/2022,380.6,360.6,5.51851394,5.833350297,NA,Original,Edge Creek
MT23,Aggregative Swab,Edge Creek,MSD,WET,Top,6/27/2022,6/29/2022,31.11,32.59,7.08,7.03,NA,Original,Edge Creek
MT16,Aggregative Swab,Edge Creek,MSD,DRY,Top,6/27/2022,6/29/2022,16.9,46.8,5.006131318,1,NA,Original,Edge Creek
MT10,Aggregative Swab,4,MSD,WET,Bottom,6/27/2022,6/29/2022,31.64,32.06,7.02,6.265429321,NA,Original,Center
MT7,Aggregative Swab,6,MSD,WET,Top,6/27/2022,6/29/2022,30.84,32.86,6.45,6.731299961,NA,Original,Center
MT121,Aggregative Swab,4,MSD,WET,Bottom,6/27/2022,6/29/2022,38.95,33.55,6.045322979,6.078838066,3.806179974,Original,Center
MT14,Aggregative Swab,Edge Creek,MSD,WET,Top,6/27/2022,6/29/2022,31.83,31.87,5.040617851,4.374458913,NA,Original,Edge Creek
MT1,Aggregative Swab,4,MSD,DRY,Top,6/27/2022,6/29/2022,20.4,43.3,4.933758807,1,NA,Original,Center
MT13,Aggregative Swab,6,MSD,WET,Bottom,6/27/2022,6/29/2022,31.39,32.31,6.16,6.389822118,NA,Original,Center
MT12,Aggregative Swab,6,MSD,WET,Top,6/27/2022,6/29/2022,28.73,34.97,5.748188027,5.51435095,NA,Original,Center
MT24,Aggregative Swab,1,MSD,WET,Top,6/27/2022,6/29/2022,24.2,39.5,6.755874856,6.750479824,NA,Original,Center
MT27,Aggregative Swab,1,HAND,WET,Top,6/27/2022,6/29/2022,32.62,31.08,6.482950798,6.362775592,3.230448921,Original,Center
MT28,Aggregative Swab,2,HAND,WET,Top,6/27/2022,6/29/2022,34.45,29.25,5.826074803,5.916266793,NA,Original,Center
MT30,Aggregative Swab,Edge Creek,HAND,WET,Top,6/27/2022,6/29/2022,32.57,31.13,6.301029996,6.204622348,NA,Original,Edge Creek
