Sampling.Day,Sample.Type,Location,Class,Strata,Test,Best.Estimate.log.CFU.g.,Head Location,Sample.TypeLocation
InHarvest D1,Swab,Chute,Round 1,,APC,5.394436872,,
InHarvest D1,Swab,Bins,Round 1,,APC,5.174409923,,
InHarvest D1,Swab,Chute,Round 2,,APC,4.796522226,,
InHarvest D1,Swab,Chute,Round 3,,APC,4.995547318,,
InHarvest D1,Swab,Bins,Round 3,,APC,4.377870923,,
InHarvest D1,Swab,Bins,Round 2,,APC,4.410926836,,
InHarvest D1,Grab,Bins,Round 1,,APC,4.526753811,,
InHarvest D1,Grab,Bins,Round 2,,APC,4.115437436,,
InHarvest D1,Grab,Bins,Round 3,,APC,4.182117764,,
InHarvest D1,Grab,Leftover,Round 1,,APC,4.901569899,,
InHarvest D1,Grab,Leftover,Round 1,,APC,4.734137829,,
InHarvest D1,Grab,Leftover,Round 2,,APC,4.439963936,,
InHarvest D1,Grab,Leftover,Round 2,,APC,4.46478752,,
InHarvest D1,Grab,Leftover,Round 3,,APC,3.704239663,,
InHarvest D1,Gloves,Gloves,Round 1,,APC,5.094975472,,
InHarvest D1,Gloves,Gloves,Round 1,,APC,4.837102393,,
InHarvest D1,Gloves,Gloves,Round 3,,APC,4.825260215,,
InHarvest D1,Gloves,Gloves,Round 2,,APC,4.9980655,,
InHarvest D1,Gloves,Gloves,Round 2,,APC,5.109083036,,
InHarvest D1,Swab,Chute,Round 4,,APC,4.865184642,,
InHarvest D1,Swab,Chute,Round 4,,APC,4.438337186,,
InHarvest D1,Swab,Bins,Round 5,,APC,4.956322177,,
InHarvest D1,Swab,Bins,Round 5,,APC,4.397108124,,
InHarvest D1,Grab,Leftover,Round 4,,APC,4.46478752,,
InHarvest D1,Grab,Leftover,Round 5,,APC,4.571242851,,
InHarvest D1,Grab,Bins,Round 4,,APC,4.273284108,,
InHarvest D1,Grab,Bins,Round 5,,APC,4.14441709,,
InHarvest D1,Grab,Leftover,Round 5,,APC,4.452553063,,
InHarvest D1,Grab,Leftover,Round 4,,APC,4.160851292,,
InHarvest D1,Gloves,Gloves,Round 5,,APC,4.98357326,,
InHarvest D1,Gloves,Gloves,Round 5,,APC,4.825610012,,
InHarvest D1,Gloves,Gloves,Round 4,,APC,5.77366966,,
InHarvest D1,Gloves,Gloves,Round 4,,APC,4.688772052,,
InHarvest D1,Swab,Chute,Round 1,,Coliforms,0.584051626,,
InHarvest D1,Swab,Bins,Round 1,,Coliforms,0.743676281,,
InHarvest D1,Swab,Chute,Round 2,,Coliforms,0.6554004,,
InHarvest D1,Swab,Chute,Round 3,,Coliforms,0.627987487,,
