Samples.ID,Sample.Type,Bed.number,Hand.msd,Wet.dry,Top.bottom,Date.collected,Date.processed,Weight.g.,PBS.added.ml.,Best. Estimate,Test,Opportunity,Zone
Tis8,Produce Sample,Edge Creek,NA,NA,Top,6/27/2022,6/29/2022,214.44,194.44,5.672097858,APC,Original,Edge Creek
Tis59,Produce Sample,4,NA,NA,Top,6/27/2022,6/29/2022,439.15,419.15,5.755874856,APC,Original,Center
Tis4,Produce Sample,Edge Creek,NA,NA,Bottom,6/27/2022,6/29/2022,811.18,791.18,5.301029996,APC,Original,Edge Creek
Tis22,Produce Sample,1,NA,NA,Top,6/27/2022,6/29/2022,399.95,379.95,5.146128036,APC,Original,Center
Tis25,Produce Sample,1,NA,NA,Top,6/27/2022,6/29/2022,417.01,397.01,4.954242509,APC,Original,Center
Tis60,Produce Sample,4,NA,NA,Top,6/27/2022,6/29/2022,316.02,296.02,NA,APC,Original,Center
Tis3,Produce Sample,Edge Creek,NA,NA,Bottom,6/27/2022,6/29/2022,480.96,460.96,5,APC,Original,Edge Creek
Tis10,Produce Sample,Edge Creek,NA,NA,Top,6/27/2022,6/29/2022,495.22,475.22,5.07,APC,Original,Edge Creek
Tis7,Produce Sample,Edge Creek,NA,NA,Top,6/27/2022,6/29/2022,412.84,392.84,4.698970004,APC,Original,Edge Creek
Tis32,Produce Sample,6,NA,NA,Bottom,6/27/2022,6/29/2022,503.01,483.01,5.51851394,APC,Original,Center
Tis31,Produce Sample,6,NA,NA,Top,6/27/2022,6/29/2022,492.49,472.49,5.342422681,APC,Original,Center
Tis27,Produce Sample,4,NA,NA,Top,6/27/2022,6/29/2022,197.3,177.3,5.929418926,APC,Original,Center
Tis11,Produce Sample,Edge Creek,NA,NA,Top,6/27/2022,6/29/2022,260.43,240.43,5.591064607,APC,Original,Edge Creek
Tis2,Produce Sample,Edge Creek,NA,NA,Bottom,6/27/2022,6/29/2022,199.15,179.15,4.708411561,APC,Original,Edge Creek
Tis28,Produce Sample,4,NA,NA,Bottom,6/27/2022,6/29/2022,467.78,447.78,5.61,APC,Original,Center
Tis24,Produce Sample,1,NA,NA,Top,6/27/2022,6/29/2022,357.85,337.85,5.041392685,APC,Original,Center
Tis26,Produce Sample,1,NA,NA,Bottom,6/27/2022,6/29/2022,334.74,314.74,4.79,APC,Original,Center
Tis9,Produce Sample,Edge Creek,NA,NA,Top,6/27/2022,6/29/2022,367.51,347.51,5.602059991,APC,Original,Edge Creek
