"Sampling.Day","Sample.Type","Location","Class","Strata","Test","Best.Estimate.log.CFU.g.","Head.Location","Sample.TypeLocation"
"PostHarvest D1","Swab","Chute","Round 1"," ","APC",3.576186435,"Exterior","SwabChute"
"PostHarvest D1","Swab","Chute","Round 2","","APC",3.966157514,"Exterior","SwabChute"
"PostHarvest D1","Swab","Interior","Round 2","","APC",3.404719714,"Interior","SwabInterior"
"PostHarvest D1","Swab","Interior","Round 3","","APC",3.566037591,"Interior","SwabInterior"
"PostHarvest D1","Swab","Chute","Round 3","","APC",4.242798476,"Exterior","SwabChute"
"PostHarvest D1","Swab","Interior","Round 1","","APC",3.738051805,"Interior","SwabInterior"
"PostHarvest D1","Grab","Sides","Round 3","Comp2","APC",4.734559822,"Exterior","GrabSides"
"PostHarvest D1","Grab","Sides","Round 3","Comp1","APC",4.180554125,"Exterior","GrabSides"
"PostHarvest D1","Grab","Interior","Round 3","Comp1","APC",3.725863493,"Interior","GrabInterior"
"PostHarvest D1","Grab","Sides","Round 2","","APC",4.118062056,"Exterior","GrabSides"
"PostHarvest D1","Grab","Interior","Round 2","","APC",3.670245853,"Interior","GrabInterior"
"PostHarvest D1","Gloves","Gloves","Round 2","","APC",4.314621203,"Exterior","Gloves"
"PostHarvest D1","Gloves","Gloves","Round 3","","APC",4.23855983,"Exterior","Gloves"
"PostHarvest D1","Gloves","Gloves","Round 1","","APC",3.545307116,"Exterior","Gloves"
"PostHarvest D1","Swab","Chute","Round 4","","APC",3.648737102,"Exterior","SwabChute"
"PostHarvest D1","Swab","Chute","Round 5","","APC",3.624104201,"Exterior","SwabChute"
"PostHarvest D1","Swab","Interior","Round 4","","APC",3.049407795,"Interior","SwabInterior"
"PostHarvest D1","Swab","Interior","Round 5","","APC",3.095310746,"Interior","SwabInterior"
"PostHarvest D1","Grab","Sides","Round 1","","APC",3.859479521,"Exterior","GrabSides"
"PostHarvest D1","Grab","Interior","Round 1","","APC",3.033423755,"Interior","GrabInterior"
"PostHarvest D1","Grab","Sides","Round 4","Comp1","APC",3.777634541,"Exterior","GrabSides"
"PostHarvest D1","Grab","Interior","Round 4","Comp1","APC",2.653212514,"Interior","GrabInterior"
"PostHarvest D1","Grab","Interior","Round 3","Comp2","APC",3.556302501,"Interior","GrabInterior"
"PostHarvest D1","Grab","Sides","Round 4","Comp2","APC",3.81756537,"Exterior","GrabSides"
"PostHarvest D1","Gloves","Gloves","Round 4","","APC",3.522444234,"Exterior","Gloves"
"PostHarvest D1","Gloves","Gloves","Round 5","","APC",3.522444234,"Exterior","Gloves"
"PostHarvest D1","Grab","Sides","Round 5","Comp2","APC",3.747520395,"Exterior","GrabSides"
"PostHarvest D1","Grab","Interior","Round 5","Comp2","APC",2.431363764,"Interior","GrabInterior"
"PostHarvest D1","Grab","Sides","Round 5","Comp1","APC",4.032581283,"Exterior","GrabSides"
"PostHarvest D1","Grab","Interior","Round 5","Comp1","APC",3.209515015,"Interior","GrabInterior"
"PostHarvest D1","Grab","Interior","Round 4","Comp2","APC",4.46478752,"Interior","GrabInterior"
"PostHarvest D1","Swab","Chute","Round 1"," ","Coliforms",1.057672495,"Exterior","SwabChute"
"PostHarvest D1","Swab","Chute","Round 2","","Coliforms",1.057672495,"Exterior","SwabChute"
"PostHarvest D1","Swab","Interior","Round 2","","Coliforms",1.819543936,"Interior","SwabInterior"
"PostHarvest D1","Swab","Interior","Round 3","","Coliforms",2.81756537,"Interior","SwabInterior"
"PostHarvest D1","Swab","Chute","Round 3","","Coliforms",1.022777215,"Exterior","SwabChute"
"PostHarvest D1","Swab","Interior","Round 1","","Coliforms",2.887054378,"Interior","SwabInterior"
"PostHarvest D1","Grab","Sides","Round 3","Comp2","Coliforms",1.838849091,"Exterior","GrabSides"
"PostHarvest D1","Grab","Sides","Round 3","Comp1","Coliforms",0.77815125,"Exterior","GrabSides"
"PostHarvest D1","Grab","Interior","Round 3","Comp1","Coliforms",2.895422546,"Interior","GrabInterior"
"PostHarvest D1","Grab","Sides","Round 2","","Coliforms",2.426511261,"Exterior","GrabSides"
"PostHarvest D1","Grab","Interior","Round 2","","Coliforms",2.045322979,"Interior","GrabInterior"
"PostHarvest D1","Gloves","Gloves","Round 2","","Coliforms",0.828707624,"Exterior","Gloves"
"PostHarvest D1","Gloves","Gloves","Round 3","","Coliforms",0.705773712,"Exterior","Gloves"
"PostHarvest D1","Gloves","Gloves","Round 1","","Coliforms",0.954242509,"Exterior","Gloves"
"PostHarvest D1","Swab","Chute","Round 4","","Coliforms",1.358702491,"Exterior","SwabChute"
"PostHarvest D1","Swab","Chute","Round 5","","Coliforms",1.0678017,"Exterior","SwabChute"
"PostHarvest D1","Swab","Interior","Round 4","","Coliforms",1.841131853,"Interior","SwabInterior"
"PostHarvest D1","Swab","Interior","Round 5","","Coliforms",1.192220759,"Interior","SwabInterior"
"PostHarvest D1","Grab","Sides","Round 1","","Coliforms",2.875061263,"Exterior","GrabSides"
"PostHarvest D1","Grab","Interior","Round 1","","Coliforms",1.62324929,"Interior","GrabInterior"
"PostHarvest D1","Grab","Sides","Round 4","Comp1","Coliforms",1.380211242,"Exterior","GrabSides"
"PostHarvest D1","Grab","Interior","Round 4","Comp1","Coliforms",0.477121255,"Interior","GrabInterior"
"PostHarvest D1","Grab","Interior","Round 3","Comp2","Coliforms",1.681241237,"Interior","GrabInterior"
"PostHarvest D1","Grab","Sides","Round 4","Comp2","Coliforms",2.786751422,"Exterior","GrabSides"
"PostHarvest D1","Gloves","Gloves","Round 4","","Coliforms",1.556302501,"Exterior","Gloves"
