Sampling.Day,Sample.Type,Area,Field.Loc,Class,Strata,Test,Best.Estimate
Preharvest D2,Swab,Center,Bed 1,Sides,Inner ,APC,6.620137471
Preharvest D2,Swab,Center,Bed 1,Bottom,Inner ,APC,6.526236899
Preharvest D1,Swab,Center,Bed 1,Sides,Inner ,APC,5.56110528
Preharvest D1,Swab,Center,Bed 1,Bottom,Inner ,APC,5.387214712
Preharvest D2,Grab,Center,Bed 1,Sides,Inner ,APC,5.075802354
Preharvest D2,Grab,Center,Bed 1,Bottom,Inner ,APC,4.476686743
Preharvest D1,Grab,Center,Bed 1,Sides,Inner ,APC,4.364816544
Preharvest D1,Grab,Center,Bed 1,Bottom,Inner ,APC,4.033441441
Preharvest D2,Grab,Center,Bed 1,Sides,Inner ,Coliforms,3.079181246
Preharvest D1,Grab,Center,Bed 1,Sides,Inner ,Coliforms,2.11058971
Preharvest D2,Swab,Center,Bed 1,Sides,Inner ,Coliforms,1.57
Preharvest D1,Grab,Center,Bed 1,Bottom,Inner ,Coliforms,1.47
Preharvest D2,Swab,Center,Bed 1,Bottom,Inner ,Coliforms,1.4
Preharvest D1,Swab,Center,Bed 1,Sides,Inner ,Coliforms,1.1
Preharvest D1,Swab,Center,Bed 1,Bottom,Inner ,Coliforms,1.08
Preharvest D2,Grab,Center,Bed 1,Bottom,Inner ,Coliforms,0.48
Preharvest D2,Swab,Bed 1,Bed 1,Bottom,Outer,APC,6.011113106
Preharvest D1,Swab,Bed 1,Bed 1,Bottom,Outer,APC,5.273049442
Preharvest D2,Swab,Bed 1,Bed 1,Sides,Outer,APC,5.139136199
Preharvest D1,Swab,Bed 1,Bed 1,Sides,Outer,APC,5.063312187
Preharvest D2,Grab,Bed 1,Bed 1,Sides,Outer,Coliforms,4.58
Preharvest D2,Grab,Bed 1,Bed 1,Bottom,Outer,APC,4.777716739
Preharvest D1,Grab,Bed 1,Bed 1,Sides,Outer,APC,4.323458367
Preharvest D2,Grab,Bed 1,Bed 1,Sides,Outer,APC,4.137030905
Preharvest D1,Grab,Bed 1,Bed 1,Bottom,Outer,APC,4.064532158
Preharvest D2,Grab,Bed 1,Bed 1,Bottom,Outer,Coliforms,3.694605199
Preharvest D1,Grab,Bed 1,Bed 1,Sides,Outer,Coliforms,3.580924976
Preharvest D1,Grab,Bed 1,Bed 1,Bottom,Outer,Coliforms,3.346352974
Preharvest D2,Swab,Bed 1,Bed 1,Sides,Outer,Coliforms,1.2
Preharvest D2,Swab,Bed 1,Bed 1,Bottom,Outer,Coliforms,1.14
Preharvest D1,Swab,Bed 1,Bed 1,Bottom,Outer,Coliforms,1.1
Preharvest D1,Swab,Bed 1,Bed 1,Sides,Outer,Coliforms,1.09
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 1,APC,4.890756252
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 1,APC,4.084194657
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 1,APC,3.830993688
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 1,Coliforms,2.41
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 1,Coliforms,2.079181246
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 1,Coliforms,0.48
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 1 ,APC,4.000442932
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 1 ,Coliforms,1.939519253
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 2,APC,5.051499819
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 2,APC,4.765817515
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 2,APC,4.163370428
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 2,Coliforms,3.93
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 2,APC,3.913107783
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 2,Coliforms,2.545307116
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 2,Coliforms,2.209515015
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 2,Coliforms,1.68
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 3,APC,4.205671675
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 3,APC,4.180057446
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 3,APC,4.059594462
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 3,APC,4.025471277
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 3,Coliforms,1.322219295
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 3,Coliforms,1.079181246
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 3,Coliforms,0.48
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 3,Coliforms,0.48
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 4,APC,4.306425028
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 4,APC,4.087781418
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 4,APC,4.054670661
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 4,APC,4.002026384
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 4,Coliforms,3.53
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 4,Coliforms,2.26245109
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 4,Coliforms,2.15
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 4,Coliforms,1.875061263
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 5,APC,4.426998959
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 5,APC,4.339848783
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 5,APC,3.779780471
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 5,APC,3.759644466
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 5,Coliforms,2.76
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 5,Coliforms,1.52
Preharvest D2,Grab HR,Bed 1,Bed 1,Sides,St 5,Coliforms,1.431363764
