Sampling Day,Sample Type,Area,Field Loc,Class,Strata,Test,Sample ID,Best Estimate
Preharvest D1,Grab,Center,Bed 1,Bottom,Inner ,Coliforms,UI162,1.47
Preharvest D1,Grab,Center,Bed 1,Sides,Inner ,Coliforms,UI163,2.11058971
Preharvest D1,Swab,Center,Bed 1,Bottom,Inner ,Coliforms,UI14,1.08
Preharvest D1,Swab,Center,Bed 1,Sides,Inner ,Coliforms,UI13,1.1
Preharvest D1,Grab,Center,Bed 1,Bottom,Inner ,APC,UI162,4.033441441
Preharvest D1,Grab,Center,Bed 1,Sides,Inner ,APC,UI163,4.364816544
Preharvest D1,Swab,Center,Bed 1,Bottom,Inner ,APC,UI14,5.387214712
Preharvest D1,Swab,Center,Bed 1,Sides,Inner ,APC,UI13,5.56110528
Preharvest D1,Grab,Bed 1,Bed 1,Bottom,Outer,Coliforms,UI159,3.346352974
Preharvest D1,Grab,Bed 1,Bed 1,Sides,Outer,Coliforms,UI158,3.580924976
Preharvest D1,Swab,Bed 1,Bed 1,Sides,Outer,Coliforms,UI9,1.09
Preharvest D1,Swab,Bed 1,Bed 1,Bottom,Outer,Coliforms,UI10,1.1
Preharvest D1,Grab,Bed 1,Bed 1,Bottom,Outer,APC,UI159,4.064532158
Preharvest D1,Grab,Bed 1,Bed 1,Sides,Outer,APC,UI158,4.323458367
Preharvest D1,Swab,Bed 1,Bed 1,Sides,Outer,APC,UI9,5.063312187
Preharvest D1,Swab,Bed 1,Bed 1,Bottom,Outer,APC,UI10,5.273049442
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 1,Coliforms,UI121,0.48
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 1,Coliforms,UI128,2.41
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 1,APC,UI121,3.830993688
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 1,APC,UI128,4.084194657
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 2,Coliforms,UI117,1.68
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 2,APC,UI117,3.913107783
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 2,Coliforms,UI119,3.93
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 2,APC,UI119,5.051499819
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 3,Coliforms,UI114,0.48
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 3,APC,UI114,4.059594462
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 3,Coliforms,UI115,0.48
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 3,APC,UI115,4.025471277
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 4,Coliforms,UI113,3.53
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 4,APC,UI113,4.054670661
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 4,Coliforms,UI120,2.15
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 4,APC,UI120,4.002026384
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 5,Coliforms,UI111,1.52
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 5,APC,UI111,3.759644466
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 5,Coliforms,UI118,2.76
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 5,APC,UI118,3.779780471
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 6,Coliforms,UI116,2.65
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 6,Coliforms,UI112,0.48
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 6,APC,UI116,4.052370435
Preharvest D1,Grab HR,Bed 1,Bed 1,Sides,St 6,APC,UI112,3.745689065
Preharvest D1,Swab,Center,Bed 5,Bottom,Inner ,Coliforms,UI7,1.08
Preharvest D1,Grab,Center,Bed 5,Bottom,Inner ,Coliforms,UI88,1.18
Preharvest D1,Grab,Center,Bed 5,Sides,Inner ,Coliforms,UI90,3.945468585
Preharvest D1,Swab,Center,Bed 5,Sides,Inner ,Coliforms,UI8,1.09
Preharvest D1,Swab,Center,Bed 5,Bottom,Inner ,APC,UI7,6.12993093
Preharvest D1,Grab,Center,Bed 5,Bottom,Inner ,APC,UI88,4.380417742
Preharvest D1,Grab,Center,Bed 5,Sides,Inner ,APC,UI90,4.246097193
Preharvest D1,Swab,Center,Bed 5,Sides,Inner ,APC,UI8,4.962173882
Preharvest D1,Swab,Center,Bed 8,Sides,Inner ,Coliforms,UI1,1.1
Preharvest D1,Grab,Center,Bed 8,Bottom,Inner ,Coliforms,UI47,1.982271233
Preharvest D1,Grab,Center,Bed 8,Sides,Inner ,Coliforms,UI50,4.39
Preharvest D1,Swab,Center,Bed 8,Bottom,Inner ,Coliforms,UI2,1.07
Preharvest D1,Swab,Center,Bed 8,Sides,Inner ,APC,UI1,4.751668459
Preharvest D1,Grab,Center,Bed 8,Bottom,Inner ,APC,UI47,4.157285242
Preharvest D1,Grab,Center,Bed 8,Sides,Inner ,APC,UI50,4.624488363
Preharvest D1,Swab,Center,Bed 8,Bottom,Inner ,APC,UI2,5.532426155
Preharvest D1,Grab HR,Center,Bed 8,Sides,St 1,Coliforms,UI74,1.954242509
Preharvest D1,Grab HR,Center,Bed 8,Sides,St 1,Coliforms,UI80,0.95
Preharvest D1,Grab HR,Center,Bed 8,Sides,St 1,APC,UI74,3.970308959
Preharvest D1,Grab HR,Center,Bed 8,Sides,St 1,APC,UI80,3.969625598
Preharvest D1,Grab HR,Center,Bed 8,Sides,St 2,Coliforms,UI85,3.421603927
Preharvest D1,Grab HR,Center,Bed 8,Sides,St 2,Coliforms,UI75,2.995635195
Preharvest D1,Grab HR,Center,Bed 8,Sides,St 2,APC,UI85,4.207260837
Preharvest D1,Grab HR,Center,Bed 8,Sides,St 2,APC,UI75,4.188101706
Preharvest D1,Grab HR,Center,Bed 8,Sides,St 3,Coliforms,UI84,0.48
Preharvest D1,Grab HR,Center,Bed 8,Sides,St 3,Coliforms,UI83,1.77
Preharvest D1,Grab HR,Center,Bed 8,Sides,St 3,APC,UI84,4.167228189
Preharvest D1,Grab HR,Center,Bed 8,Sides,St 3,APC,UI83,4.228962512
Preharvest D1,Grab HR,Center,Bed 8,Sides,St 4,Coliforms,UI76,4.5
Preharvest D1,Grab HR,Center,Bed 8,Sides,St 4,Coliforms,UI82,3.045322979
Preharvest D1,Grab HR,Center,Bed 8,Sides,St 4,APC,UI76,5.422011867
Preharvest D1,Grab HR,Center,Bed 8,Sides,St 4,APC,UI82,4.054410579
Preharvest D1,Grab HR,Center,Bed 8,Sides,St 5,Coliforms,UI78,1.08
Preharvest D1,Grab HR,Center,Bed 8,Sides,St 5,APC,UI78,3.951875786
Preharvest D1,Grab HR,Center,Bed 8,Sides,St 5,Coliforms,UI77,2.5774918
Preharvest D1,Grab HR,Center,Bed 8,Sides,St 5,APC,UI77,4.000095392
Preharvest D1,Grab HR,Center,Bed 8,Sides,St 6,Coliforms,UI79,0.48
