Sampling Day,Sample Type,Location,Class,Strata,Test,Sample ID,Best Estimate log(CFU/g)
InHarvest D1,MT,Chute,Round 1,,APC,UI15,5.394436872
InHarvest D1,MT,Bins,Round 1,,APC,UI16,5.174409923
InHarvest D1,MT,Chute,Round 2,,APC,UI17,4.796522226
InHarvest D1,MT,Chute,Round 3,,APC,UI18,4.995547318
InHarvest D1,MT,Bins,Round 3,,APC,UI19,4.377870923
InHarvest D1,MT,Bins,Round 2,,APC,UI29,4.410926836
InHarvest D1,Tissue,Bins,Round 1,,APC,UI290,4.526753811
InHarvest D1,Tissue,Bins,Round 2,,APC,UI291,4.115437436
InHarvest D1,Tissue,Bins,Round 3,,APC,UI292,4.182117764
InHarvest D1,Tissue,Leftover,Round 1,,APC,UI295,4.901569899
InHarvest D1,Tissue,Leftover,Round 1,,APC,UI296,4.734137829
InHarvest D1,Tissue,Leftover,Round 2,,APC,UI297,4.439963936
InHarvest D1,Tissue,Leftover,Round 2,,APC,UI298,4.46478752
InHarvest D1,Tissue,Leftover,Round 3,,APC,UI307,3.704239663
InHarvest D1,Gloves,Gloves,Round 1,,APC,UI318,5.094975472
InHarvest D1,Gloves,Gloves,Round 1,,APC,UI319,4.837102393
InHarvest D1,Gloves,Gloves,Round 3,,APC,UI320,4.825260215
InHarvest D1,Gloves,Gloves,Round 2,,APC,UI326,4.9980655
InHarvest D1,Gloves,Gloves,Round 2,,APC,UI327,5.109083036
InHarvest D1,MT,Chute,Round 4,,APC,UI020,4.865184642
InHarvest D1,MT,Chute,Round 4,,APC,UI021,4.438337186
InHarvest D1,MT,Bins,Round 5,,APC,UI022,4.956322177
InHarvest D1,MT,Bins,Round 5,,APC,UI023,4.397108124
InHarvest D1,Tissue,Leftover,Round 4,,APC,UI093,4.46478752
InHarvest D1,Tissue,Leftover,Round 5,,APC,UI096,4.571242851
InHarvest D1,Tissue,Bins,Round 4,,APC,UI293,4.273284108
InHarvest D1,Tissue,Bins,Round 5,,APC,UI294,4.14441709
