Fastq,Fasta,BAM,Sample name,Sample Description,Bed Number,Strata,Sample Time Point,Sample Day,Sample Type,Field Location,Location,Round,Replicate,Total reads,PicoGreen,NanoDrop
Stasiewicz_16S_demult.16S_For_bc1005--16S_Rev_bc1057.fastq,198-16S_For_bc1005-16S_Rev_bc1057.fasta,Stasiewicz_16S_demult.16S_For_bc1005--16S_Rev_bc1057.bam,UI00198,Cloth bin tops,,,Harvest,Day 2,Cloth,,Bins,3,,24808,8,17.2
Stasiewicz_16S_demult.16S_For_bc1012--16S_Rev_bc1057.fastq,196-16S_For_bc1012-16S_Rev_bc1057.fasta,Stasiewicz_16S_demult.16S_For_bc1012--16S_Rev_bc1057.bam,UI00196,Cloth bin tops,,,Harvest,Day 2,Cloth,,Bins,5,,15235,108.9,77.2
Stasiewicz_16S_demult.16S_For_bc1007--16S_Rev_bc1059.fastq,21-16S_For_bc1007-16S_Rev_bc1059.fasta,Stasiewicz_16S_demult.16S_For_bc1007--16S_Rev_bc1059.bam,UI00021,Cloth bin tops,,,Harvest,Day 1,Cloth,,Bins,4,,23641,24.7,10.4
Stasiewicz_16S_demult.16S_For_bc1024--16S_Rev_bc1056.fastq,192-16S_For_bc1024-16S_Rev_bc1056.fasta,Stasiewicz_16S_demult.16S_For_bc1024--16S_Rev_bc1056.bam,UI00192,Chute,,,Harvest,Day 2,Cloth,,Chute,1,,19245,15.8,9.8
Stasiewicz_16S_demult.16S_For_bc1007--16S_Rev_bc1057.fastq,387-16S_For_bc1007-16S_Rev_bc1057.fasta,Stasiewicz_16S_demult.16S_For_bc1007--16S_Rev_bc1057.bam,UI00387,Chute,,,Harvest,Day 2,Cloth,,Chute,5,,25267,17.2,11.6
Stasiewicz_16S_demult.16S_For_bc1005--16S_Rev_bc1059.fastq,20-16S_For_bc1005-16S_Rev_bc1059.fasta,Stasiewicz_16S_demult.16S_For_bc1005--16S_Rev_bc1059.bam,UI00020,Chute,,,Harvest,Day 1,Cloth,,Chute,4,,21078,47.1,20.4
Stasiewicz_16S_demult.16S_For_bc1015--16S_Rev_bc1059.fastq,209-16S_For_bc1015-16S_Rev_bc1059.fasta,Stasiewicz_16S_demult.16S_For_bc1015--16S_Rev_bc1059.bam,UI00209,Chute,,Exterior,Post Harvest,Day 2,Cloth,,Chute,4,,21302,4.6,NA
Stasiewicz_16S_demult.16S_For_bc1012--16S_Rev_bc1060.fastq,214-16S_For_bc1012-16S_Rev_bc1060.fasta,Stasiewicz_16S_demult.16S_For_bc1012--16S_Rev_bc1060.bam,UI00214,Chute,,Exterior,Post Harvest,Day 2,Cloth,,Chute,2,,25902,4.6,NA
Stasiewicz_16S_demult.16S_For_bc1008--16S_Rev_bc1062.fastq,25-16S_For_bc1008-16S_Rev_bc1062.fasta,Stasiewicz_16S_demult.16S_For_bc1008--16S_Rev_bc1062.bam,UI00025,Chute,,Exterior,Post Harvest,Day 1,Cloth,,Chute,2,,24959,6.3,16.5
Stasiewicz_16S_demult.16S_For_bc1007--16S_Rev_bc1056.fastq,321-16S_For_bc1007-16S_Rev_bc1056.fasta,Stasiewicz_16S_demult.16S_For_bc1007--16S_Rev_bc1056.bam,UI00321,Glove,Bed 5,,Harvest,Day 2,Glove,,Glove,1,,23375,34.5,26.6
Stasiewicz_16S_demult.16S_For_bc1008--16S_Rev_bc1056.fastq,191-16S_For_bc1008-16S_Rev_bc1056.fasta,Stasiewicz_16S_demult.16S_For_bc1008--16S_Rev_bc1056.bam,UI00191,Glove,Bed 1,,Harvest,Day 2,Glove,,Glove,3,,21715,44.3,40.1
Stasiewicz_16S_demult.16S_For_bc1020--16S_Rev_bc1056.fastq,186-16S_For_bc1020-16S_Rev_bc1056.fasta,Stasiewicz_16S_demult.16S_For_bc1020--16S_Rev_bc1056.bam,UI00186,Glove,Bed 1,,Harvest,Day 2,Glove,,Glove,5,,21075,63.7,43.5
Stasiewicz_16S_demult.16S_For_bc1020--16S_Rev_bc1057.fastq,327-16S_For_bc1020-16S_Rev_bc1057.fasta,Stasiewicz_16S_demult.16S_For_bc1020--16S_Rev_bc1057.bam,UI00327,Glove,,,Harvest,Day 1,Glove,,Glove,2,Rachel,14830,28.4,19.2
Stasiewicz_16S_demult.16S_For_bc1024--16S_Rev_bc1057.fastq,325-16S_For_bc1024-16S_Rev_bc1057.fasta,Stasiewicz_16S_demult.16S_For_bc1024--16S_Rev_bc1057.bam,UI00325,Glove,,,Harvest,Day 1,Glove,,Glove,4,Dr. S,17021,43.5,22
Stasiewicz_16S_demult.16S_For_bc1012--16S_Rev_bc1059.fastq,316-16S_For_bc1012-16S_Rev_bc1059.fasta,Stasiewicz_16S_demult.16S_For_bc1012--16S_Rev_bc1059.bam,UI00316,Glove,,Exterior,Post Harvest,Day 2,Glove,,Glove,1,,3339,37.3,15.8
Stasiewicz_16S_demult.16S_For_bc1015--16S_Rev_bc1060.fastq,313-16S_For_bc1015-16S_Rev_bc1060.fasta,Stasiewicz_16S_demult.16S_For_bc1015--16S_Rev_bc1060.bam,UI00313,Glove,,Exterior,Post Harvest,Day 2,Glove,,Glove,3,,26937,39.4,26.2
Stasiewicz_16S_demult.16S_For_bc1012--16S_Rev_bc1062.fastq,336-16S_For_bc1012-16S_Rev_bc1062.fasta,Stasiewicz_16S_demult.16S_For_bc1012--16S_Rev_bc1062.bam,UI00336,Glove,,Exterior,Post Harvest,Day 1,Glove,,Glove,5,,10182,16.3,16
Stasiewicz_16S_demult.16S_For_bc1020--16S_Rev_bc1059.fastq,31-16S_For_bc1020-16S_Rev_bc1059.fasta,Stasiewicz_16S_demult.16S_For_bc1020--16S_Rev_bc1059.bam,UI00031,Cloth produce interior,,Interior,Post Harvest,Day 2,Cloth,,Produce interior,1,,27029,20,15.8
Stasiewicz_16S_demult.16S_For_bc1008--16S_Rev_bc1060.fastq,208-16S_For_bc1008-16S_Rev_bc1060.fasta,Stasiewicz_16S_demult.16S_For_bc1008--16S_Rev_bc1060.bam,UI00208,Cloth produce interior,,Interior,Post Harvest,Day 2,Cloth,,Produce interior,3,,24539,371,277.2
Stasiewicz_16S_demult.16S_For_bc1007--16S_Rev_bc1062.fastq,38-16S_For_bc1007-16S_Rev_bc1062.fasta,Stasiewicz_16S_demult.16S_For_bc1007--16S_Rev_bc1062.bam,UI00038,Cloth produce interior,,Interior,Post Harvest,Day 1,Cloth,,Produce interior,5,,29624,366.7,271.8
Stasiewicz_16S_demult.16S_For_bc1007--16S_Rev_bc1033.fastq,12-16S_For_bc1007-16S_Rev_bc1033.fasta,Stasiewicz_16S_demult.16S_For_bc1007--16S_Rev_bc1033.bam,UI00012,Cloth produce bottom,Edge,,Preharvest,Day 1,Cloth,Edge,Bottom,,,24251,3.9,14.2
Stasiewicz_16S_demult.16S_For_bc1015--16S_Rev_bc1033.fastq,10-16S_For_bc1015-16S_Rev_bc1033.fasta,Stasiewicz_16S_demult.16S_For_bc1015--16S_Rev_bc1033.bam,UI00010,Cloth produce bottom,Bed 1,,Preharvest,Day 1,Cloth,Bed 1 Edge,Bottom,,,21052,3.9,17.2
Stasiewicz_16S_demult.16S_For_bc1022--16S_Rev_bc1033.fastq,7-16S_For_bc1022-16S_Rev_bc1033.fasta,Stasiewicz_16S_demult.16S_For_bc1022--16S_Rev_bc1033.bam,UI00007,Cloth produce bottom,Bed 5,,Preharvest,Day 1,Cloth,Center,Bottom,,,19704,6.7,4.8
Stasiewicz_16S_demult.16S_For_bc1005--16S_Rev_bc1035.fastq,6-16S_For_bc1005-16S_Rev_bc1035.fasta,Stasiewicz_16S_demult.16S_For_bc1005--16S_Rev_bc1035.bam,UI00006,Cloth produce bottom,Bed 6,,Preharvest,Day 1,Cloth,Center,Bottom,,,5898,3.7,2.5
Stasiewicz_16S_demult.16S_For_bc1008--16S_Rev_bc1035.fastq,4-16S_For_bc1008-16S_Rev_bc1035.fasta,Stasiewicz_16S_demult.16S_For_bc1008--16S_Rev_bc1035.bam,UI00004,Cloth produce bottom,Bed 7 ,,Preharvest,Day 1,Cloth,Center,Bottom,,,13089,6.3,4.2
Stasiewicz_16S_demult.16S_For_bc1020--16S_Rev_bc1035.fastq,14-16S_For_bc1020-16S_Rev_bc1035.fasta,Stasiewicz_16S_demult.16S_For_bc1020--16S_Rev_bc1035.bam,UI00014,Cloth produce bottom,Bed 1,,Preharvest,Day 1,Cloth,Center,Bottom,,,14960,3.5,14
Stasiewicz_16S_demult.16S_For_bc1015--16S_Rev_bc1044.fastq,347-16S_For_bc1015-16S_Rev_bc1044.fasta,Stasiewicz_16S_demult.16S_For_bc1015--16S_Rev_bc1044.bam,UI00347,Cloth produce bottom,Edge,,Preharvest,Day 2,Cloth,Edge,Bottom,,,16213,4.8,14.2
Stasiewicz_16S_demult.16S_For_bc1007--16S_Rev_bc1045.fastq,338-16S_For_bc1007-16S_Rev_bc1045.fasta,Stasiewicz_16S_demult.16S_For_bc1007--16S_Rev_bc1045.bam,UI00338,Cloth produce bottom,Bed 3,,Preharvest,Day 2,Cloth,Center,Bottom,,,22463,5.6,4.5
Stasiewicz_16S_demult.16S_For_bc1012--16S_Rev_bc1045.fastq,339-16S_For_bc1012-16S_Rev_bc1045.fasta,Stasiewicz_16S_demult.16S_For_bc1012--16S_Rev_bc1045.bam,UI00339,Cloth produce bottom,Bed 5,,Preharvest,Day 2,Cloth,Center,Bottom,,,14637,4.9,4
Stasiewicz_16S_demult.16S_For_bc1020--16S_Rev_bc1045.fastq,342-16S_For_bc1020-16S_Rev_bc1045.fasta,Stasiewicz_16S_demult.16S_For_bc1020--16S_Rev_bc1045.bam,UI00342,Cloth produce bottom,Bed 7,,Preharvest,Day 2,Cloth,Center,Bottom,,,23388,6.4,15.8
